# eventID  propagation_model  gaussian_sigma  exp_decay_const  num_tracks  prob_mean  prob_width  total_hits_this_event
     186  gaussian            17.72771           -1.00000          10    0.03749     0.00375          76
     187  gaussian            17.45883           -1.00000          24    0.00376     0.00038          71
     188  exponential         -1.00000           11.54514          40    0.01271     0.00127          69
     189  exponential         -1.00000           23.92177          14    0.03449     0.00345          76
     190  exponential         -1.00000           22.54719          37    0.01854     0.00185          77
     191  gaussian            12.41160           -1.00000          27    0.02736     0.00274          78
     192  gaussian            14.30041           -1.00000          25    0.02477     0.00248          73
     193  gaussian             9.04447           -1.00000          15    0.00522     0.00052          73
     194  linear              -1.00000           -1.00000          30    0.00502     0.00050          74
     195  gaussian            12.05283           -1.00000          31    0.01215     0.00122          71
     196  linear              -1.00000           -1.00000          36    0.00925     0.00093          76
     197  linear              -1.00000           -1.00000          15    0.01391     0.00139          74
     198  exponential         -1.00000           14.23385          13    0.03060     0.00306          74
     199  exponential         -1.00000           21.69340          19    0.02825     0.00282          75
     200  gaussian            10.58040           -1.00000          12    0.06237     0.00624          78
     201  exponential         -1.00000           22.65459          21    0.00887     0.00089          75
     202  exponential         -1.00000           24.26415          23    0.00246     0.00025          71
     203  exponential         -1.00000           15.53687          34    0.02041     0.00204          70
     204  linear              -1.00000           -1.00000          25    0.00359     0.00036          74
     205  exponential         -1.00000           27.48689          17    0.02627     0.00263          76
     206  exponential         -1.00000           29.15953          13    0.06183     0.00618          76
     207  linear              -1.00000           -1.00000          25    0.01349     0.00135          78
     208  linear              -1.00000           -1.00000          20    0.00287     0.00029          71
     209  gaussian            12.06965           -1.00000          38    0.00155     0.00015          70
     210  gaussian            18.71562           -1.00000          32    0.01541     0.00154          77
     211  gaussian            13.05117           -1.00000          38    0.01442     0.00144          78
     212  gaussian            16.99530           -1.00000          25    0.01612     0.00161          79
     213  exponential         -1.00000           26.65131          38    0.01952     0.00195          78
     214  gaussian             5.30790           -1.00000          15    0.06262     0.00626          76
     215  gaussian            10.21342           -1.00000          28    0.02557     0.00256          76
     216  gaussian             9.72383           -1.00000          35    0.00717     0.00072          69
     217  exponential         -1.00000           17.77974          17    0.01465     0.00147          76
     218  exponential         -1.00000           17.43229          31    0.02148     0.00215          77
     219  gaussian            18.51624           -1.00000          14    0.11497     0.01150          79
     220  gaussian            16.85362           -1.00000          16    0.01104     0.00110          71
     221  gaussian            13.57863           -1.00000          37    0.01021     0.00102          78
     222  linear              -1.00000           -1.00000          40    0.00107     0.00011          69
     223  exponential         -1.00000           23.96488          20    0.03741     0.00374          79
     224  gaussian            14.81914           -1.00000          25    0.00678     0.00068          74
     225  exponential         -1.00000           19.55288          12    0.01643     0.00164          71
     226  gaussian            19.09750           -1.00000          22    0.01947     0.00195          73
     227  linear              -1.00000           -1.00000          16    0.02092     0.00209          79
     228  exponential         -1.00000           29.99760          11    0.01115     0.00112          70
     229  gaussian            11.36610           -1.00000          26    0.04027     0.00403          80
     230  exponential         -1.00000           22.51059          36    0.02606     0.00261          79
     231  linear              -1.00000           -1.00000          31    0.01450     0.00145          78
     232  gaussian            14.28358           -1.00000          22    0.00220     0.00022          71
     233  exponential         -1.00000           21.07831          36    0.01013     0.00101          77
     234  gaussian             6.95117           -1.00000          29    0.01291     0.00129          75
     235  linear              -1.00000           -1.00000          34    0.00569     0.00057          76
     236  gaussian            14.42483           -1.00000          15    0.04834     0.00483          80
     237  linear              -1.00000           -1.00000          17    0.02576     0.00258          78
     238  exponential         -1.00000           18.56665          33    0.00035     0.00004          71
     239  gaussian            11.21204           -1.00000          31    0.01632     0.00163          78
     240  linear              -1.00000           -1.00000          15    0.00803     0.00080          73
     241  exponential         -1.00000           16.93483          32    0.00179     0.00018          70
     242  linear              -1.00000           -1.00000          28    0.00803     0.00080          76
     243  linear              -1.00000           -1.00000          21    0.00653     0.00065          77
     244  linear              -1.00000           -1.00000          22    0.01412     0.00141          78
     245  linear              -1.00000           -1.00000          15    0.01869     0.00187          75
     246  linear              -1.00000           -1.00000          36    0.01167     0.00117          76
     247  exponential         -1.00000           12.92762          11    0.09470     0.00947          78
     248  linear              -1.00000           -1.00000          11    0.00463     0.00046          72
     249  gaussian            10.93817           -1.00000          31    0.02145     0.00215          77
     250  exponential         -1.00000           13.25246          20    0.04326     0.00433          79
     251  exponential         -1.00000           28.35128          20    0.04496     0.00450          79
     252  exponential         -1.00000           22.32486          15    0.03691     0.00369          74
     253  linear              -1.00000           -1.00000          23    0.01199     0.00120          78
     254  exponential         -1.00000           17.97175          18    0.05390     0.00539          80
     255  linear              -1.00000           -1.00000          40    0.00005     0.00001          74
     256  linear              -1.00000           -1.00000          29    0.01064     0.00106          78
     257  exponential         -1.00000           28.46556          40    0.00900     0.00090          76
     258  linear              -1.00000           -1.00000          12    0.01452     0.00145          80
     259  gaussian            19.71427           -1.00000          24    0.00101     0.00010          70
     260  gaussian             9.64114           -1.00000          21    0.01707     0.00171          76
     261  linear              -1.00000           -1.00000          40    0.00313     0.00031          71
     262  linear              -1.00000           -1.00000          35    0.01595     0.00160          77
     263  linear              -1.00000           -1.00000          12    0.00753     0.00075          73
     264  exponential         -1.00000           22.93254          32    0.00734     0.00073          72
     265  exponential         -1.00000           24.47114          26    0.01685     0.00168          78
     266  exponential         -1.00000           19.11270          40    0.01151     0.00115          78
     267  exponential         -1.00000           10.78446          19    0.06467     0.00647          76
     268  linear              -1.00000           -1.00000          28    0.01227     0.00123          77
     269  exponential         -1.00000           11.92880          37    0.02949     0.00295          73
     270  gaussian            16.80161           -1.00000          21    0.02129     0.00213          78
     271  exponential         -1.00000           21.20144          34    0.01572     0.00157          80
     272  exponential         -1.00000           10.95342          39    0.00058     0.00006          70
     273  linear              -1.00000           -1.00000          17    0.00959     0.00096          74
     274  exponential         -1.00000           16.10207          29    0.01903     0.00190          71
     275  gaussian            19.74745           -1.00000          30    0.01881     0.00188          75
     276  linear              -1.00000           -1.00000          10    0.03299     0.00330          76
     277  gaussian             9.14410           -1.00000          32    0.00565     0.00057          76
     278  linear              -1.00000           -1.00000          17    0.02565     0.00256          79
     279  gaussian             8.72167           -1.00000          26    0.04393     0.00439          80
     280  exponential         -1.00000           15.08695          15    0.07216     0.00722          80
     281  exponential         -1.00000           23.97909          16    0.03920     0.00392          78
     282  linear              -1.00000           -1.00000          35    0.00593     0.00059          80
     283  exponential         -1.00000           23.74693          14    0.02322     0.00232          73
     284  gaussian             8.50507           -1.00000          33    0.00664     0.00066          73
     285  exponential         -1.00000           15.21177          38    0.00820     0.00082          75
     286  linear              -1.00000           -1.00000          10    0.01552     0.00155          71
     287  gaussian            12.49176           -1.00000          28    0.03091     0.00309          78
     288  linear              -1.00000           -1.00000          40    0.00098     0.00010          72
     289  gaussian            12.76102           -1.00000          35    0.00901     0.00090          74
     290  linear              -1.00000           -1.00000          10    0.00585     0.00059          73
     291  linear              -1.00000           -1.00000          26    0.00453     0.00045          75
     292  exponential         -1.00000           15.54146          27    0.01845     0.00184          80
